happiness,happiness,You're feeling **happy**,"It appears that you're not having too bad of a day.  You seem completely and utterly happy.  You probably can't keep from smiling, and most likely there's a lightness you feel within your body.  Just think about that for a moment:  Out of all the emotions you're experiencing right now, happiness is one of the very strongest!  Talk about something to appreciate!  Don't take these feelings for granted.  People aren't happy all the time, so when we are, we should recognize how we feel and enjoy the moment.  Also, think about ways you can share your joy with the people in your life.  What steps can you take to multiply what you're feeling by passing it on to those around you? "
interest,interest,You're feeling **interested**,"Something has really caught your eye and imagination, hasn't it?  You're feeling extremely interested in some person or object or idea, and it has fully engaged your attention.  That can be highly enjoyable, focusing completely on something that fascinates you and grabs hold of your intellectual curiosity.  Explore this curiosity, allowing yourself to examine where it might lead you.  It's important that you make wise decisions and carefully consider possible negative consequences to certain actions you might take, but there's nothing wrong with fully examining a possibility or concept that pops up before you and asks you to think about what it might mean."
pain,pain,You're experiencing **pain**,"It's one of the most difficult things anyone ever has to deal with: intense, overwhelming physical pain.  It can overshadow everything else in a person's life, leaving them unable to enjoy simple pleasures and even meet basic responsibilities.  At the moment, you seem to be dealing with this type of pain.  Somewhere in your body you're hurting so much that it's the most intense feeling you're currently experiencing.  We assume you're seeing a doctor.  In addition, you might seek out other types of pain-management resources.  Some people have found it helpful to avail themselves to pain clinics, mindfulness exercises, and other ways to help them deal with their conditions.  We've listed several places to get started here."
pride,pride,You're feeling **proud**,"You feel extremely proud right now.  You might be taking pride in a personal accomplishment, or in something about a larger group to which you belong.  For whatever reason, you're receiving a ton of satisfaction from something that recently happened.  Your shoulders are probably back, and your chin is slightly higher than usual.  We're happy that you're appreciating this moment, enjoying it for all it's worth. If you're proud of something you've done yourself, go ahead and tell someone about it.  Choose a person close to you, someone who will know you're not simply bragging, and share your accomplishment.  Let yourself enjoy it.  And if you're feeling proud of something someone else has done, share that, too.  Congratulate other people, and spread around the pride you're feeling, letting others enjoy it as well."
relief,relief,You're feeling **relieved**,"Whew!  You feel totally relieved.  Seems like you dodged a bullet, and now you're letting out a big sigh.  Allow yourself to feel the relief in your body.  Go ahead and do it right now:  Release all the tension in your shoulders, in your neck, in your arms, in your legs.  Feel it leave your body.  Now enjoy this moment.  Appreciate the relief you're experiencing, and be aware of the weight that's been lifted off your shoulders.  Then, from that relieved, clear-minded, tension-free place, decide what you want to do next.  Do you need to make amends with anyone?  Are there steps you should take to avoid future problems?  Should you share the relief with another person?  Enjoy making decisions about future actions without being dogged by the prospect that everything is about to blow up in your face."
sadness,sadness,You're feeling **sad**,"You're feeling a good bit of sadness right now.  You're really hurting, either for yourself or for someone close to you.  Most likely you feel it in your shoulders, which might be drooping, or in the pit of your stomach, where there might be actual physical pain.  Those close to you can probably recognize that you're suffering when they look at your face.  It's good to feel deeply, and it's healthy to allow yourself to experience whatever emotions appear in response to the events in our lives.  But did you know that according to scientists at the Mayo Clinic, ""only 10% of the variation in people's reports of happiness can be explained by differences in their circumstances""?  What matters more is our personality and, most hopeful of all, our thoughts and behaviors.  That means that how we think and act goes a long way towards determining how happy we are.  So even though sadness is a significant emotion for you right now, realize that to a large degree, you can choose to be happier when you're ready.  It may take a lot of time, and you definitely shouldn't deny your authentic feelings.  But remember that you do have the ability to at least balance them with other emotions when you're ready."
shame,shame,You're feeling **ashamed**,"When people feel shame, they often experience a literal pain in the pit of their stomach.  They may avoid making eye contact with others, their chin can drop, and their posture will be what we call ""collapsed.""  You may be experiencing some of these sensations right now, possibly because of how you feel about yourself at the moment, or because of a choice you made or a regret you have.  Or maybe the shame results from something someone said, or the way someone's treated you.  If you're experiencing intense feelings of shame, we strongly encourage you to find someone to talk to, whether it's someone you know and trust, or maybe even a professional.  It's important that you recognize and address feelings of shame, because if left alone they can poison even the good things in your life."
surprise,surprise,You're feeling **surprised**,"Something really snuck up on you, didn't it?  Left you in a state of total surprise.  One interesting fact about surprise is that it's the briefest emotion, since once it appears; it's usually gone almost immediately, as we begin to understand what really happened.  At that point it can begin to be transformed into any number of emotions:  fear, amusement, anger, shame, triumph, and so on.  Where is your surprise leading you at the moment? Are you more happy or less? Just as important, do you want to respond to this particular situation? If so, how? What constructive action could you take that helps not only yourself but also the people around you?  Try to discover specific ways you can allow your surprise to lead you towards a positive and productive response to this situation. "
sympathy,sympathy,You're feeling **sympathetic**,"You're currently experiencing one of the noblest emotions of all:  sympathy.  The reason we consider it so noble is because it's a feeling focused not on your own problems, but on the pain of someone around you.  In fact, that's actually what the word ""sympathy"" means:  to suffer with others.  Your ability to suffer with someone else is honorable - although we're pretty sure it's not exactly enjoyable at the moment.  You're hurting with someone you care about, and that's painful.  We encourage you to remain aware of these compassionate emotions you're experiencing, without allowing them to overpower you.  Keep feeling deeply, and continue to care about the people in your life.  But take care of yourself as well, and avoid drowning in your sympathy.  After all, you can't always save others from suffering.  Keep caring for the people around you, and stay true to yourself along the way.  "
triumph,triumph,You're feeling **triumphant**,"Victory.  Success.  Triumph.  That's what you're feeling right now.  You did it!  You faced every obstacle, withstood every challenge, and came out on top.  And now you get to reap the rewards of your conquest.  We congratulate you and encourage you to fully appreciate this moment.  Revel in it, allowing yourself to recall each and every moment you thought you couldn't keep going, but did. "
flagged_result1,low emotion,You're feeling **little emotion**,"Whereas most people experience fairly strong emotions on a regular basis, you don't.  In fact, identifying and even recognizing your own feelings isn't exactly your strong suit.  You prefer to look at situations and people from a logical, rational perspective.  The problem, though, is that whether you recognize and identify your feelings or not, they're still there inside you, working on you in powerful ways.  And as you've probably experienced, they can build up so much that one seemingly minor detail can set you off, leading you to react in ways you're not proud of.  So do all you can to pay attention to subtle signs that your emotions are running higher than usual - clinched teeth, tight muscles, etc. - and begin to notice those signs for the red flags that they are.  This can help you maintain control of your feelings and, therefore, your actions.  Also, keep in mind that the people in your life probably need more emotional connection and sustenance than you do.  You may be a camel who can go a long time without a drink of emotional nourishment, but most people get thirsty and need you to pay more attention to their feelings."
