high_extraversion,realistic,HER,The Chief Executive,"Someone asks you to give a speech at a wedding reception?  No worries.  Your neighbor needs a hand changing a tire?  Right in your, ahem, wheelhouse.  A co-worker wants to have a long, drawn-out discussion about general office morale and the social reasons behind it?  Noooo thanks.  That's just not who you are.  You want to move.  You want to accomplish.  You want to take the lead, rally the troops, and get things done.  ","Your energy is a gift to use in your interactions with the people in your life.  So is your ability to see the root of a problem and enthusiastically address it.  Your talents, along with your enjoyment of being with others, offer the potential for great joy and meaning in your personal and relational life.   ","In your activities and relationships, be careful that your knowledge and enthusiasm don't cause you to miss out on experiences and good ideas that might come from the less outgoing people around you.  And when decisions need to be made, don't short-change the thinking process.  Sometimes it may be important to think about and even - Yikes! - have a discussion before jumping into action.","**The Chief Executive** brings charisma, spontaneity, and leadership through energetic action.",You are *an effective leader* who enjoys being with others.,Your *enthusiasm and sociability* offer great potential for meaningful relationships.,Make sure your *desire for action* doesn't keep you from whatever analysis may be necessary in a given situation.
low_extraversion,conventional,LEC,The True Blue,"Nobody's going to catch you wearing a lampshade on your head at a holiday party.  Being showy, or pushing the envelope in some way, just isn't your style.  You prefer structure and order in your life, in your work, and in your relationships.  You are deliberate and low-key when you approach a task, and you're especially good at following rules and routines.  You can interact with others, of course, but your preference is usually to work independently and get things done, assuring that every detail is taken care of.","As a result, the people in your life know they can count on you when it comes to rules and details.  In your relationships, you're probably viewed as loyal, and as someone people know will maintain self control.  When you do spend time with other people, it will sometimes wear you out, and you usually need to be alone afterwards.  ","Remain aware of your preference for working independently, and your need to find ""alone time"" so you can re-charge yourself after being with others.  But keep in mind, also, the importance of developing your interpersonal and relational skills.  And avoid becoming overly rigid in your desire for order.  It's important to remain flexible and deviate from the norm when situations call for it.   ","**The True Blue** desires time alone and brings deliberate order, routine, and support through dependable reliability.","You *value structure and routine*, and you prefer to have plenty of time alone.",Your emphasis on order and self control causes others to see you as *dependable*. ,"Sometimes you should *work on improving your flexibility and interpersonal skills*, even if you prefer  a lone-wolf approach."
high_openness,realistic,HOR,The Swiss Army Knife,"Some people get nervous when presented with novel and complex ideas.  They prefer things to be familiar and conventional.  You, on the other hand, welcome the new.  You're not necessarily excited by the thought of sitting down with someone and having a long, drawn-out discussion about how to solve a particular problem; your preference is usually to get busy and do something, rather than talking about doing something.  But it's not like you mind being shown a new and interesting way to approach an issue.  In fact, you welcome it.","This is a unique and valuable combination you offer.  It's somewhat rare to find someone as open-minded as you are be so eager to jump straight into whatever issue arises.  Your intellectual curiosity and comfort with complexity provide a nice balance to your ""let's get 'er done"" approach to tasks that you face.","In your job, in your social life, in your relationships, work to maintain this balance, without giving in to either side exclusively.  Jumping into a situation without considering alternatives and consequences can lead to bad decisions and all kinds of trouble.  But you also don't want to be so open-minded that you have trouble ever making a decision.  You have the ability to pay attention to both of these aspects of yourself.  As long as you continue to strike that balance, you'll see more and more success in your life and relationships.",**The Swiss Army Knife** welcomes new and complex problems and invents offers concrete solutions through immediate action.,"You are *excited by novel and complex ideas*, and you prefer *diving into a problem* rather than sitting around and talking about it.","This openness, combined with an eagerness to act, gives you a unique skillset. ","Make sure you don't give in to one side or the other of that combination; instead, *balance* them and let them play off of each other."
high_openness,investigative,HOI,The Connoisseur,"That old cliche about curiosity killing the cat just doesn't ring true to you.  In fact, you thrive on inquisitiveness and coming up with novel ways to address problems.  New ideas excite you, and you welcome a challenge that asks you to research a problem, analyze the data, and come up with an interesting and novel response.  You're an independent thinker with strong skills when it comes to organizing and understanding information.   Your openness to new ideas, combined with your analytical skills, mean that you're often able to find whole new ways to address a problem that arises.  ","You're less interested in people-oriented activities.  And while it's great to be a strong, independent thinker, this is one area of growth we'd encourage you to explore.  ","Take that openness and curiosity that are such strong aspects of your personality, and let them lead you to new insights about yourself and the people around you.    ","**The Connoisseur** analyzes and solves complex problems with a combination of curiosity, organization, and inventiveness.",You are *excited by new ideas and intriguing challenges*.,You have *strong organizational and analytical skills*.,We recommend that you use those desires and skills in your interactions with the people around you.
high_openness,artistic,HOA,The Different Drummer,"Some people are willing to think outside the box.  You?  You want to blow that mother up.  You take open-mindedness to a whole new level, absolutely embracing new experiences.  More than most people, you're intellectually curious and appreciative of the beauty around you. This applies to your general personality, as well as the way you approach your social life and work.  When encountering a new relationship or task, you address it with creativity and imagination.","When it comes to conventional thinking and following traditions and customs, you're just not interested.  You greatly prefer to chart new territory, see in new ways, and use your hands and your mind to create new things.  As a result, you're most likely highly prized as a thinker, as someone who's able to come up with inventive and insightful responses to new issues as they arise.","Even though you thrive in unconventional, unstructured settings, keep in mind that not everyone does.  The people in your life may work from a very different set of standards from your own.  They might offer a certain amount of groundedness that could provide a nice counter-balance to your creativity.  So continue to bring your enthusiasm and imagination to your life and relationships, but watch for ways, as well, to appreciate other approaches, and to integrate them into your own way of doing things.",**The Different Drummer** spearheads alternative approaches to life using sheer creativity and imagination.,You approach life with *artistic creativity and imagination*.,You are always open to tackling projects with new strategies and approaches.,"Consider allowing the people in your life to help balance your creativity with their own, possibly more down-to-earth perspectives on how things should be done.  "
high_openness,social,HOS,The Clicker,"The scientist Stephen Jay Gould has said, ""Nothing is more dangerous than a dogmatic worldview.""  That quote probably rings pretty true for you.  Whatever comes your way, you're ready for it.  You invite new experiences into your life, and you're willing to examine alternatives to how things have always been done.  This especially applies to situations where you can help someone else.  You care about the people around you, and you understand that sometimes it's necessary to ""think outside the box"" when it comes to pulling people together to generate positive energy for a good cause.","Most likely, the people in your life appreciate your intellectual curiosity, especially when it's combined with your effective communication skills and concern for others.","One word of caution:  Don't let your people-centered open-mindedness produce an impractical wishy-washiness that leaves you unable to make difficult decisions when necessary.  Instead, let the strength of your openness and caring help you make tough, concrete decisions when they're called for--either at work or in your relationships. ","**The Clicker** works from a spirit of curiosity and openness to new ideas, primarily in the service of others. ",Your approach to life is one of *open-mindedness and flexibility*.,"You *love to serve, support, and help others* who are in need.",These attributes speak to a strength in you that you should harness and use in your life and work--even and especially when difficult decisions are called for.
high_openness,enterprising,HOE,The Maverick,"Sure, caution has its place.  Just not in the life of someone who wants to accomplish much and ultimately take steps toward making big things happen.  And that's you.  You bring great energy and leadership to just about everything you do, and you're perfectly willing to take risks to achieve the goals set for yourself.  When new possibilities present themselves, you're ready to jump in and see where new roads might take you.","The same goes for different ways of looking at old problems.  You come at your life and work with an attitude of intellectual curiosity, ready to explore alternative approaches and consider imaginative responses.  Plus, because of your communication skills and sociable personality, you're often able to inspire others to follow your lead in this area.","This ability to envision new approaches from an open and flexible perspective is a significant strength, whether we're talking about your personal or professional life.  But don't forget the importance of follow-through as well.  Your visionary, idea-person tendencies need to be balanced with firm commitment.  Once you've come up with new and interesting approaches to address problems that arise, do your best to take practical steps to make your vision a reality.","**The Maverick** brings energy, leadership, and imaginative approaches through enthusiastic action.",You *embrace risk and new possibilities* with great energy.,People are often willing to follow you when you communicate your vision.,"Make sure to *add commitment to your ideas*, so the visions don't fail to become reality."
high_openness,conventional,HOC,The Drum Machine,"You are curious and imaginative, and you fully understand the importance of considering diverse perspectives when making decisions.  You're open to new experiences, and you don't mind thinking ""outside the box.""  That being said,  you also prize order and structure.  In other words, your open-mindedness doesn't mean that you're willing to put up with chaos and a lack of clarity when it's time to get something done.","Instead, you like rules and details, and you're good at following directions.  Even though you welcome new ideas and experiences, routines and order make you feel secure and certain.  This combination gives you the potential to be highly valuable at work and in relationships, since you offer both openness to new ideas as well as steadiness and commitment.","Watch for ways to capitalize on this unique combination.  The next time a problem arises in your life, use your affinity for rules and routine to come up with a new and interesting step-by-step approach to solving it.  Consider new alternatives and use your creativity to come up with a clear and orderly way to address the issue.  The more you can integrate your open attitude with your appreciation for organization, the more effective you'll be at solving problems and getting things done.",**The Drum Machine** has the imagination and drive to implement time-tested solutions to unconventional problems.,You have the *curiosity and imagination* to solve complex problems in your personal or professional life.,"You rely on *order and structured routine* to complete projects, but you're always open to new ways of looking at a problem.","In your social life as well as your professional environment, work to *remain open-minded*, even as you rely on the rules and traditions that make you so comfortable."
low_openness,realistic,LOR,The Bullet Train,"You know what you believe, and you want to remain consistent to what you know to be true.  That applies to interacting with others as well as getting a job done.  You're just not that interested in going too far outside of what you've already determined works. Other people may want to chase down every new idea that pops up before them, but not you.  You prefer to rely on what's been proven and time-tested.  As a result, when you're presented with a new situation--whether it's in a relationship or at work--you like to jump in and address it right away, without wasting a lot of time discussing it and theorizing about different plans of attack. ","One of the best things about your approach to life and work is your consistency:  people know who you are, and what to expect from you.","A potential drawback, though, is that you may be missing out on new opportunities to learn even better ways to address the issues that come up in your life.  We're not saying you shouldn't be as practical and reliable as you are; just that by being more flexible and broad-minded, you'll open yourself up to all kinds of possibilities that you're going to miss if you don't explore different alternatives.","**The Bullet Train** is less interested in considering numerous alternatives, and instead relies on experience, persistence, and proven methods to tackle problems directly and immediately.","You tackle issues using *trusted routines and traditional solutions*, rather than spending a lot of time discussing possible alternatives.","As a result, you sometimes *miss out on opportunities* and new ways of looking at a situation.  ","Stay true to who you are, but look for times to *be more flexible and open-minded* when new issues arise."
low_openness,investigative,LOI,The Examiner,"You view life with a certain amount of complexity.  On one hand, you're very steadfast in your beliefs.  You know what you've learned to be true, and you're not too interested in spending time chasing after every new idea or perspective that pops up.  On the other hand, though,  you enjoy collecting information and analyzing situations.  You're naturally curious, even though you prefer to rely on the tried and true.","Now might be a good time to think through this apparent dichotomy in your approach to the world.  For example, what is it that keeps you from being more inclined to consider alternative opinions or to look at new ways of addressing a situation?  And how does that jibe with your natural enjoyment of analytical and intellectual pursuits?  Do you feel any internal conflict as a result of these differing desires?","The better you can understand this apparent paradox within yourself, the more effective you can be at your work, in your relationships, and in your life in general.  You have significant gifts and abilities, so do your best to figure out how best to integrate them and use them in concert with each other.","**The Examiner** is naturally inquisitive but usually prefers familiar approaches to problems, rather than experimental alternatives.",There's an apparent paradox in how you view and approach your world.,"You *prefer familiarity* over novelty, but you're *naturally curious* as well.",This paradox could cause you problems and should be investigated in a meaningful way.
low_openness,artistic,LOA,The Painter's Palette,"You bring an artistic sensibility to life.  You appreciate beauty, and you enjoy interesting and unusual people and objects.  What makes all of this particularly interesting is that for the most part, you seem to simultaneously prefer what's familiar over what's novel.  In other words, rather than exploring a new or alternative idea or approach to a situation, you're more likely to rely on what you've already found to be true. You bring an artistic sensibility to life.  You appreciate beauty, and you enjoy interesting and unusual people and objects.  What makes all of this particularly interesting is that for the most part, you seem to simultaneously prefer what's familiar over what's novel.  In other words, rather than exploring a new or alternative idea or approach to a situation, you're more likely to rely on what you've already found to be true. You bring an artistic sensibility to life.  You appreciate beauty, and you enjoy interesting and unusual people and objects.  What makes all of this particularly interesting is that for the most part, you seem to simultaneously prefer what's familiar over what's novel.  In other words, rather than exploring a new or alternative idea or approach to a situation, you're more likely to rely on what you've already found to be true. ","There's nothing wrong with this ""tried and true"" approach to your work.  But it's unusual that you'd so be so steadfast in your commitment to your own ideals and opinions, and still feel so inclined towards art and creativity.   ",Do you see ways that your creative and imaginative approach to your life might be enhanced by a bit more openness when it comes to new ideas and unconventional approaches to a given problem?  We're not saying you need to change your down-to-earth way of doing things; just that you might discover that you can be even more true to who you are if you let yourself color outside the lines from time to time.,"**The Painter's Palette** works from a creative sensibility, but often insists on sticking with reliable and proven methods to address new situations that arise.",You combine *creativity and imagination with trusted routines*.,This combination can give you a unique perspective on life and your relationships.,But a bit *more openness* would allow your artistic sensibilities to flourish even more.  
low_openness,social,LOS,The Rock,"You know who you are, and you know what you believe.  You value the consistency in your own beliefs, and when you're presented with new ideas, you'll generally explore them only if they jibe pretty well with what you've already determined to be true.  ","For example, think about your devotion to helping the people around you.  In your mind, this is simply an important part of who you are, and you have a good sense of how best to go about doing that.  You have good relational skills, and you like to use them to work with people and help solve their problems.  You can be very empathetic and sensitive to emotional cues, which allows you to pull people together when you need to and inspire others to join together to accomplish a task. This is an admirable trait, and it makes sense that you'd remain committed to doing things as you have in the past.","However, one drawback to your consistency is that you're not always very comfortable exploring and accepting novel ideas and new ways of doing things.  As a result, you sometimes limit yourself in terms of what you can see and accomplish.  It's also at least possible that you might miss out on a chance to use your considerable relational skills to help someone else, if you've written them off because of some perceived difference between the two of you.  So keep sticking to your principles and beliefs; but watch for ways to broaden your perspective and try new approaches, so you can be even more effective when it comes to what you can accomplish, and who you can help.","**The Rock** prioritizes helping other people, and does so in a way that values consistency and routine.",You love to *support and care for other people*.,You're not always comfortable with exploring new ways of approaching situations.,Sometimes that *lack of openness to novelty* can keep you from helping people the way you'd like.
low_openness,enterprising,LOE,The Decider,"Decisive.  Consistent. Persuasive.  These are words you might use to describe yourself.  You have good communication skills, and you use them to influence, persuade, and lead others.  This strength can make you extremely valuable when it comes to getting things done--especially because you're willing to make tough decisions and take some risks in order to make something happen.","One part of your personality that further strengthens your ability to get things done is your confidence in yourself, and in what you believe.  You have faith in yourself and, more than most people, you're suspicious of alternative ideas and ways of doing things.  As you make the quick, assertive decisions that come so naturally to you, you prefer to do so based on the tried-and-true, instead of the supposedly new-and-improved.","While this confidence in your own perspective can be a real strength, though, it can also be a liability.  If you close yourself off to novel ideas or unconventional ways of approaching a situation, you miss out on the potential for an even bigger payday if your risks and hard work eventually pay off.  Plus, being closed to new perspectives can keep you from enjoying meaningful relationships.  So continue to follow your own instincts, and let your skills lead you towards more and more success.  But keep in mind that there's more than one way to skin a cat, and if someone shows you something new, they just might be offering you a ticket to exciting and rewarding possibilities you've never even considered.","**The Decider** brings confidence, persuasiveness, and leadership but prefers to work from tried-and-true approaches to situations that arise.","You excel at *leadership and persuasion*, and you often *get things done*.",But you show an uneasiness sometimes with novelty and alternative approaches to situations.,"Every time you turn your back on a new perspective, you limit the possibilities that are open to you."
