The Examiner,Electrical engineer: Software architect: Quantitative analyst,Strategic analysis: Information acquisition: Implementing pre-established strategies,Statistical software packages: Integrated development environment: Mathematical software: Spreadsheets
The Painter's Palette,Program director: Technical writer: PR specialist,Controlled creativity: Brand management: Maintaining and monitoring social media campaigns,Advanced office software: social media management software: Project management software
The Rock,Instructional coordinator:  Brand manager:  Counselor,Cognitive behavioral techniques:  Organizational management skills: Limit setting: Multidisciplinary team participation and leadership,Office management software: Electronic medical records: 
The Decider,Startup advisor: Management consultant: Software engineer,Persuasion: Risk taking: Implementing predefined strategies,Productivity monitoring software: Office software: Time tracking software: Integrated development environment
The Tried and True,Accountant: Software architect: Civil engineer,Logical analysis: Organization management: Assignment deconstruction,Mathematical software: Advanced spreadsheet software: Office software
The Go Getter,Dentist: Trauma surgeon: Entrepreneur,Group formation:  Decisive decision-making: Collaboration: Background in health,Collaboration software: Budget tracking software: Electronic medical records
The Super Sleuth,Veterinarian:  Police detective: Marketing specialist: Software developer,Solid scientific and technological education: Management skills: General understanding of psychology,Database user interface and query software: Customer relationship management (CRM) software: Analytical and scientific software 
The Free Spirit,Public relations specialist: Elementary school teacher: Choreographer,Effective personal skills: Maintaining social harmony: Working autonomously,Customer relationship management (CRM) software: Collaboration software: Office software
The Host,Social worker: Marketing manager: Teacher: Therapist,Conflict management and resolution: Effective personal skills: Monitoring,Office software: Group management software: Time tracking software
The Trailblazer,Strategic consultant: Operations manager: CEO,Leadership: Product management: Working collaboratively,Time tracking software: Advanced project management software: Scheduling software
The Team Player,Librarian: Hospital administrator: Financial advisor,Customer and personal service skills: Administration: Management,Information retrieval and search software: Web page creation software: Appropriate data management and analytic software
The Lone Ranger,Pathologist: Environmental consultant: Geologist,Working independently: Working outdoors: Hands-on problem solving,Weather tracking and radar software: Budget tracking software: Backup clothing and supplies
The Scientist,Chemist: Software developer: Microbiologist,Self-direction: Data analysis: Independent research,Integrated development environment: Office software: Spreadsheets
The Soloist,Novelist: Photographer: Copy writer,Time management: Self-discipline: Independent creativity,Advanced word processing software: Image editing software: Project management software
The Paradox,Emergency management director: Documentary producer: Commercial director,Public safety and security training: Advanced critical thinking skills: Documentation: Effective personal and public speaking skills,Spreadsheets: Scientific and analytic software: Computer-based training software
The Igniter,Private detective: Personal financial advisor: Entrepreneur,Persuasion: Self-direction: Leadership,Spreadsheets: Time management software: Virtual collaboration software
The Designer,Actuary: Editor: Software manager,Detail-oriented: Image management: Adhering to existing strategies,Spreadsheets: Word processing software: Integrated development environment
The Laser Beam,Entrepreneur: Software engineer: Strategic coordinator,Organization management: Negotiation: Detail-oriented,Project management software: Time tracking software: Productivity software
The Algorithmist,Anesthesiologist: Pharmacist: Market research analyst,Strategic analysis: Solving logical puzzles: Experimental design,Data analysis software: Medical software: Electronic medical records
The Architect,Advertising sales agent: Mathematician: Commercial and industrial designer,Innovation: Formulating original strategies: Marketing,Mathematical software: Project management software: Social media analytic software
The Giver,Counselor: Emergency management director: Preschool teacher,Organization: Management: Leadership: Networking,Spreadsheets: Productivity tracking software: Social networking websites
The Entrepreneur,Entrepreneur: CEO: Product manager,Leadership: Risk management: Persuasion,Project management software: Virtual collaboration software: Productivity software
The Detailer,Auditor: Financial analyst: Archivist,Data analysis: Investigating fraud: Historical research,Mathematical software: Office software: Excellent spreadsheet skills
The Charger,Surgeon: Software developer: Athletic trainer: Police patrol officer,Solid scientific and technological education:  Critical thinking: Persuasion: Public speaking,Database user interface and query software: Excellent spreadsheet skills: 
The Explorer,Computer research scientist: Electrical engineer: IT manager,Scholar research: Experimental design: Algorithmic thinking,Integrated development environment: Office software: High end computer servers
The Free Verse Poet,Clinical psychologist: Graphic designer: Astronomer: Set designer,Operations analysis: Active learning: ,Web platform development software: Scientific and analytic software: High end computer servers
The Connector,"College professor (Sociology, Psychology, History, Political science): Clinical or Counseling Psychologist:  Therapist",Public speaking: Instructional strategies: Written communications: Monitoring,"Scientific and statistical software (SPSS, R, SAS): Informational search strategies: General office and spreadsheet software "
The Trendsetter,Reporter: Correspondent: Interior Designer: Organizational psychologist: Producer,Design principles: Administration and management: Customer and personal services,Graphics or photo imaging software: High Tech communications hardware and software: Design software
The Impulse Planner,Technical writer: Editor: Program director: Desktop publisher: Private chef,Written communication: Originality: Creativity: Public speaking,Database user interface and query software: Spreadsheet skills: Webpage creation and editing software
The Power Tool,Coach: Entrepreneur: Literary agent,Graphic design: Originality: Sales promotion,General office software: Productivity tracking software: Budget tracking software
The Scrutinizer,Film editor: Fire investigator: Technical writer,Analytical attention to detail: Thinking from multiple perspectives: Self-control,Digital editing software: General office software: Project tracking software
The Microwave,Concept artist: Radio and television announcer: Creative director,Refined artistic vision: Visual communication: Creativity,Image editing software: Video editing software: Creative software suites: General office software
The Shelter,Counseling psychologist: Dietician: Personal trainer,Verbal communication: Establishing rapport: Active listening,Budget tracking software: General office software: Fitness software
The Producer,Sales manager: Product developer: Food service manager,Written and verbal communication: Marketing strategy: Negotiation tactics,Office software: Social media management software: Sales tracking software
The Analyst,Executive administration assistant: Financial analyst: Investment banker,Multitasking: Quantitative measurements: Mathematics,Spreadsheet skills: Statistical software: Advanced office software: Mathematical software
The Well-Oiled Machine,Graphic designer: Geographer: Zoologist,Working under pressure: Time management: Proactive problem solving,Time management software: Office software: Image editing software
The Calculator,Construction manager: Electrical engineer: Forensic accountant,Analytical problem analysis: Experimental design: Technical research,Spreadsheet skills: Mathematical software: General office software
The Eye of the Storm,Proofreader: Advertising and sales manager: Elementary school teacher,Creativity: Verbal and written communication: Rational problem analysis,Sales tracking software: General office software: Advanced word processing software
The Pillar of Strength,Counselor: Physical therapist: Psychiatrist,Verbal communication: Active listening: Emotional insight,Office software: Billing software: Budget tracking software
The Cool Cat,Real estate broker: Managing director: Marketing manager,Organization management: Adhering to strict regulations: Problem solving,Sales tracking software: Productivity management software: Office software
The Anchor,Computer science teacher: Information security analyst: Archivist,Leadership: Persuasion: Social engineering: Motivating: Measured risk taking,Integrated development environment: Office software: Network security software
